primitive,backend,detail,mean_ms,ci95_ms,runs,calls_per_query_note
bilinear_pairing,py_arkworks_bls12381,BLS12-381,0.852985,0.005515,200,2 per ABSE.Test
abse_test,py_arkworks_bls12381,single Test call (match=True),2.077878,0.010234,200,N_u * m_c per query (exhaustive match)
abse_tokengen,py_arkworks_bls12381,single TokenGen call,0.572162,0.003661,200,m_c per trapdoor (Experiment 01)
merkle_verify_single,sha256,"N=10,000 leaves, single-leaf proof",0.006695,0.000156,200,r per query if naive; shared in multiproof
sha256,hashlib,64-byte input,0.000348,0.000003,200,~r*log(N/r) in the multiproof
hmac_sha256,hmac,64-byte input,0.001259,0.000004,200,1 per epoch-root signature check
bitmap_and_100k,python int,"100,000-bit operands, word-parallel",0.001345,0.000019,200,d-1 per conjunctive query
bitmap_and_popcount_100k,python int,"100,000 bits + popcount",0.263937,0.001401,200,1 per query to size the result set
ecelgamal_encrypt,NIST P-256,"lifted, single value",1.946571,0.026465,50,1 per record at ingest
ecelgamal_add,NIST P-256,homomorphic point addition,0.016311,0.000139,200,r-1 per aggregation
threshold_decrypt,NIST P-256,"(t,n)=(3,5): 3 partials + 3 DLEQ + Lagrange + BSGS",29.281233,0.494916,20,"2 per query (SUM, COUNT)"
